aX,aY,aZ,gX,gY,gZ
0.501,0.914,1.281,-239.746,90.881,8.545
0.484,0.955,1.299,-268.250,101.501,6.958
0.483,0.982,1.300,-296.387,117.737,-1.770
0.548,1.029,1.287,-318.787,139.771,-11.230
0.652,1.106,1.269,-337.341,162.598,-16.479
0.745,1.204,1.264,-358.887,181.152,-13.123
0.763,1.302,1.263,-386.414,192.993,-5.554
0.718,1.366,1.262,-421.814,201.233,-0.977
0.696,1.386,1.204,-462.646,215.027,-3.540
0.658,1.328,1.143,-502.502,231.689,-16.846
0.611,1.116,0.997,-536.194,249.695,-45.654
0.600,0.693,0.811,-556.458,271.179,-88.989
0.612,0.321,0.551,-557.739,291.382,-137.207
0.558,0.091,0.273,-536.865,300.964,-184.265
0.459,-0.005,0.020,-501.221,296.204,-229.431
0.346,-0.119,-0.175,-450.867,276.428,-270.630
0.232,-0.303,-0.316,-388.611,246.704,-299.377
0.263,-0.448,-0.581,-317.688,222.168,-293.518
0.407,-0.507,-0.908,-247.253,197.693,-242.615
0.608,-0.557,-1.152,-189.392,166.199,-161.377
0.825,-0.613,-1.326,-145.935,124.023,-68.848
1.015,-0.511,-1.409,-119.873,77.087,23.254
1.138,-0.324,-1.275,-105.225,27.954,100.647
1.130,-0.080,-1.066,-88.135,-7.568,157.410
1.042,0.146,-0.884,-67.810,-16.113,186.035
0.916,0.266,-0.728,-53.101,0.061,184.753
0.760,0.302,-0.619,-50.049,32.349,160.950
0.577,0.342,-0.578,-53.406,76.050,125.671
0.337,0.317,-0.493,-51.453,118.469,85.205
0.052,0.261,-0.374,-41.077,153.809,45.715
-0.193,0.247,-0.230,-21.423,182.983,18.005
-0.366,0.426,-0.100,2.441,201.355,6.104
-0.489,0.701,0.061,23.315,203.308,5.005
-0.576,0.928,0.194,36.438,189.453,7.751
-0.638,1.066,0.240,45.166,168.335,15.198
-0.675,1.127,0.226,48.279,145.325,27.466
-0.675,1.124,0.180,45.410,123.962,39.551
-0.619,1.107,0.139,41.016,105.103,45.410
-0.547,1.102,0.093,36.438,89.783,44.434
-0.508,1.079,0.064,30.884,78.613,40.710
-0.503,1.068,0.035,22.583,69.275,35.095
-0.510,1.089,-0.013,10.620,60.974,26.794
-0.532,1.079,-0.075,-2.197,54.565,14.404
-0.477,1.015,-0.141,-9.827,51.147,-2.502
-0.365,0.954,-0.200,-12.207,45.471,-19.043
-0.284,0.937,-0.235,-12.329,33.569,-28.870
-0.211,0.961,-0.262,-11.169,19.653,-30.884
-0.151,0.983,-0.278,-10.132,6.836,-27.588
-0.096,0.990,-0.299,-10.376,-2.625,-21.667
-0.051,1.001,-0.329,-11.597,-9.583,-15.991
