aX,aY,aZ,gX,gY,gZ
-1.414,-0.373,0.814,69.092,-40.100,39.246
-1.478,-0.387,0.799,80.261,-42.908,43.762
-1.492,-0.436,0.768,92.712,-46.448,48.157
-1.494,-0.476,0.695,101.624,-48.523,50.232
-1.510,-0.500,0.557,106.812,-47.852,52.246
-1.556,-0.541,0.389,109.924,-46.082,54.504
-1.620,-0.622,0.263,112.610,-41.382,55.847
-1.665,-0.689,0.226,116.516,-30.762,58.411
-1.658,-0.725,0.242,121.155,-16.418,61.584
-1.573,-0.733,0.228,122.864,-4.272,62.195
-1.383,-0.718,0.152,118.164,3.113,58.411
-1.199,-0.673,0.005,107.910,2.563,54.016
-1.019,-0.623,-0.188,97.473,1.770,49.438
-0.846,-0.559,-0.358,90.942,6.836,46.082
-0.651,-0.504,-0.444,94.360,16.418,45.654
-0.418,-0.450,-0.453,103.455,32.776,45.837
-0.156,-0.336,-0.399,109.680,53.101,47.119
0.138,-0.192,-0.292,110.718,72.205,50.537
0.477,-0.043,-0.167,106.201,85.938,56.885
0.892,0.083,-0.042,96.924,92.163,65.369
1.288,0.243,0.030,77.698,96.741,73.120
1.605,0.344,0.033,47.241,106.934,76.294
1.958,0.379,0.016,15.015,123.108,78.674
2.271,0.324,0.100,-10.498,145.447,83.130
2.502,0.269,0.340,-33.447,178.406,83.130
2.655,0.349,0.731,-51.758,216.309,79.163
2.708,0.500,1.304,-54.260,249.268,76.721
2.526,0.424,1.947,-31.799,274.719,81.177
2.118,0.085,2.578,17.334,289.490,90.881
1.523,-0.440,3.232,84.900,296.326,98.755
0.858,-0.943,3.871,144.104,297.852,93.872
0.285,-1.093,4.000,165.283,292.419,68.420
0.282,-0.745,4.000,137.207,279.846,30.701
0.730,-0.290,3.995,77.698,225.037,-9.949
1.037,-0.122,3.002,13.489,101.135,-30.457
0.981,-0.202,1.725,-39.673,-52.368,-31.494
0.877,-0.304,0.687,-78.186,-159.058,-23.010
0.799,-0.337,0.038,-82.275,-198.792,-11.292
0.769,-0.405,-0.113,-43.396,-191.833,-1.221
0.796,-0.515,0.072,17.761,-162.720,5.493
0.808,-0.581,0.376,72.388,-130.615,8.667
0.848,-0.593,0.535,102.661,-102.173,7.874
1.015,-0.566,0.568,110.962,-87.097,4.578
1.117,-0.443,0.683,103.577,-103.699,1.526
1.019,-0.405,0.734,80.505,-145.020,3.052
0.960,-0.483,0.646,47.729,-182.800,4.761
0.895,-0.591,0.506,17.029,-191.895,2.930
0.849,-0.658,0.360,-0.610,-171.753,-2.930
0.786,-0.670,0.332,1.221,-142.639,-10.132
0.659,-0.608,0.408,17.456,-115.723,-18.494
0.565,-0.448,0.513,38.574,-91.125,-23.560
0.475,-0.323,0.647,59.875,-70.190,-22.949
0.421,-0.314,0.731,72.083,-53.040,-19.043
0.450,-0.363,0.750,69.946,-43.457,-14.343
0.449,-0.453,0.756,57.251,-38.940,-10.437
0.411,-0.589,0.759,39.612,-36.621,-9.033
0.364,-0.721,0.707,23.071,-32.837,-12.390
0.182,-0.837,0.623,13.977,-28.625,-18.311
0.212,-0.851,0.558,11.353,-18.127,-28.198
0.147,-0.775,0.512,13.977,-26.062,-33.875
0.027,-0.661,0.490,24.353,-41.992,-34.607
-0.017,-0.543,0.477,34.485,-41.687,-33.081
-0.023,-0.465,0.484,37.659,-35.706,-31.616
-0.066,-0.420,0.465,32.227,-33.203,-29.846
-0.118,-0.421,0.436,22.095,-29.968,-27.954
-0.191,-0.494,0.397,11.230,-27.283,-27.222
-0.245,-0.584,0.353,2.502,-26.672,-28.015
-0.304,-0.621,0.316,-3.357,-27.893,-29.297
-0.360,-0.625,0.308,-5.554,-26.245,-30.396
-0.413,-0.585,0.348,-4.272,-21.790,-30.701
-0.504,-0.571,0.379,0.366,-28.992,-27.283
-0.550,-0.588,0.391,1.953,-30.518,-25.330
-0.558,-0.619,0.426,-4.028,-25.818,-24.170
-0.599,-0.636,0.457,-14.038,-28.503,-21.851
-0.636,-0.640,0.422,-21.667,-32.959,-18.738
-0.648,-0.670,0.378,-25.452,-31.860,-16.357
-0.688,-0.722,0.368,-27.283,-27.710,-14.099
-0.716,-0.767,0.367,-27.466,-21.423,-12.634
-0.714,-0.760,0.392,-26.428,-13.184,-11.597
-0.724,-0.743,0.473,-22.888,-6.409,-9.155
-0.737,-0.758,0.576,-17.822,-0.732,-5.920
-0.720,-0.785,0.670,-13.245,7.446,-4.517
-0.627,-0.763,0.676,-14.465,14.771,-7.751
-0.610,-0.717,0.618,-22.095,18.799,-12.695
-0.629,-0.713,0.581,-29.297,23.010,-15.991
-0.647,-0.718,0.562,-33.630,24.353,-17.090
-0.647,-0.747,0.544,-34.546,26.123,-13.977
-0.640,-0.825,0.536,-31.555,29.297,-9.216
-0.634,-0.894,0.560,-24.658,31.128,-4.822
-0.589,-0.934,0.621,-14.526,33.630,-2.319
-0.520,-0.939,0.748,-5.859,35.583,-1.892
-0.528,-0.985,0.843,-0.427,33.569,-3.967
-0.409,-0.910,0.897,-0.854,28.015,-10.498
-0.419,-0.815,0.880,-5.676,1.953,-10.986
-0.489,-0.759,0.801,-10.010,-20.935,-13.550
-0.450,-0.742,0.721,-13.245,-19.104,-16.602
-0.390,-0.711,0.680,-13.184,-18.250,-16.724
-0.383,-0.677,0.667,-9.521,-27.466,-13.428
